,음식,구간,label
479,"('현미밥', '포도', '달걀프라이')",7,455
480,"('현미밥', '포도', '닭가슴살샐러드')",9,456
481,"('현미밥', '포도', '고구마맛탕')",12,452
482,"('현미밥', '포도', '채소샐러드')",9,461
483,"('현미밥', '포도', '쇠고기수육')",12,459
484,"('현미밥', '오렌지', '과일샐러드')",7,432
485,"('현미밥', '오렌지', '마늘쫑무침')",3,436
486,"('현미밥', '오렌지', '두부조림')",5,435
487,"('현미밥', '오렌지', '건취나물무침')",4,429
488,"('현미밥', '오렌지', '고구마줄기나물무침')",4,431
489,"('현미밥', '오렌지', '시금치나물무침')",4,438
490,"('현미밥', '오렌지', '달걀프라이')",7,433
491,"('현미밥', '오렌지', '닭가슴살샐러드')",9,434
492,"('현미밥', '오렌지', '고구마맛탕')",12,430
493,"('현미밥', '오렌지', '채소샐러드')",9,439
494,"('현미밥', '오렌지', '쇠고기수육')",12,437
495,"('현미밥', '딸기', '과일샐러드')",6,388
496,"('현미밥', '딸기', '마늘쫑무침')",3,392
497,"('현미밥', '딸기', '두부조림')",4,391
498,"('현미밥', '딸기', '건취나물무침')",3,385
499,"('현미밥', '딸기', '고구마줄기나물무침')",3,387
500,"('현미밥', '딸기', '시금치나물무침')",3,394
501,"('현미밥', '딸기', '달걀프라이')",6,389
502,"('현미밥', '딸기', '닭가슴살샐러드')",8,390
503,"('현미밥', '딸기', '고구마맛탕')",12,386
504,"('현미밥', '딸기', '채소샐러드')",9,395
505,"('현미밥', '딸기', '쇠고기수육')",12,393
506,"('현미밥', '수정과', '과일샐러드')",9,410
507,"('현미밥', '수정과', '마늘쫑무침')",6,414
508,"('현미밥', '수정과', '두부조림')",8,413
509,"('현미밥', '수정과', '건취나물무침')",7,407
510,"('현미밥', '수정과', '고구마줄기나물무침')",7,409
511,"('현미밥', '수정과', '시금치나물무침')",6,416
512,"('현미밥', '수정과', '달걀프라이')",9,411
513,"('현미밥', '수정과', '닭가슴살샐러드')",10,412
514,"('현미밥', '수정과', '고구마맛탕')",13,408
515,"('현미밥', '수정과', '채소샐러드')",10,417
516,"('현미밥', '수정과', '쇠고기수육')",13,415
517,"('현미밥', '식혜', '과일샐러드')",9,421
518,"('현미밥', '식혜', '마늘쫑무침')",6,425
519,"('현미밥', '식혜', '두부조림')",7,424
520,"('현미밥', '식혜', '건취나물무침')",7,418
521,"('현미밥', '식혜', '고구마줄기나물무침')",6,420
522,"('현미밥', '식혜', '시금치나물무침')",6,427
523,"('현미밥', '식혜', '달걀프라이')",9,422
524,"('현미밥', '식혜', '닭가슴살샐러드')",10,423
525,"('현미밥', '식혜', '고구마맛탕')",13,419
526,"('현미밥', '식혜', '채소샐러드')",10,428
527,"('현미밥', '식혜', '쇠고기수육')",13,426
528,"('현미밥', '찐감자', '과일샐러드')",9,443
529,"('현미밥', '찐감자', '마늘쫑무침')",6,447
530,"('현미밥', '찐감자', '두부조림')",8,446
531,"('현미밥', '찐감자', '건취나물무침')",7,440
532,"('현미밥', '찐감자', '고구마줄기나물무침')",7,442
533,"('현미밥', '찐감자', '시금치나물무침')",7,449
534,"('현미밥', '찐감자', '달걀프라이')",9,444
535,"('현미밥', '찐감자', '닭가슴살샐러드')",10,445
536,"('현미밥', '찐감자', '고구마맛탕')",13,441
537,"('현미밥', '찐감자', '채소샐러드')",10,450
538,"('현미밥', '찐감자', '쇠고기수육')",13,448
