,음식,label,구간
87,"('쌀밥(반공기)', '바지락국', '조기구이')",1653,15
88,"('쌀밥(반공기)', '바지락국', '잔멸치볶음')",1652,9
89,"('쌀밥(반공기)', '바지락국', '감자채볶음')",1641,12
90,"('쌀밥(반공기)', '바지락국', '애호박볶음')",1651,14
91,"('쌀밥(반공기)', '바지락국', '골뱅이무침')",1646,17
92,"('쌀밥(반공기)', '바지락국', '홍합무침')",1658,17
93,"('쌀밥(반공기)', '바지락국', '코다리찜')",1655,23
94,"('쌀밥(반공기)', '바지락국', '콩나물찜')",1657,31
95,"('쌀밥(반공기)', '바지락국', '훈제닭가슴살')",1659,21
96,"('쌀밥(반공기)', '바지락국', '계란프라이')",1643,13
97,"('쌀밥(반공기)', '바지락국', '계란찜')",1642,32
98,"('쌀밥(반공기)', '바지락국', '계란햄말이')",1644,23
99,"('쌀밥(반공기)', '바지락국', '쇠고기장조림')",1650,22
100,"('쌀밥(반공기)', '오징어국', '콩나물무침')",1716,6
101,"('쌀밥(반공기)', '오징어국', '고사리나물')",1705,8
102,"('쌀밥(반공기)', '오징어국', '버섯볶음')",1709,18
103,"('쌀밥(반공기)', '오징어국', '진미채볶음')",1714,26
104,"('쌀밥(반공기)', '오징어국', '낚지볶음')",1708,31
105,"('쌀밥(반공기)', '오징어국', '김치참치볶음')",1707,8
106,"('쌀밥(반공기)', '오징어국', '갈치구이')",1700,32
107,"('쌀밥(반공기)', '오징어국', '조기구이')",1713,17
108,"('쌀밥(반공기)', '오징어국', '잔멸치볶음')",1712,12
109,"('쌀밥(반공기)', '오징어국', '감자채볶음')",1701,15
110,"('쌀밥(반공기)', '오징어국', '애호박볶음')",1711,16
111,"('쌀밥(반공기)', '오징어국', '골뱅이무침')",1706,20
112,"('쌀밥(반공기)', '오징어국', '홍합무침')",1718,19
113,"('쌀밥(반공기)', '오징어국', '코다리찜')",1715,26
114,"('쌀밥(반공기)', '오징어국', '콩나물찜')",1717,32
115,"('쌀밥(반공기)', '오징어국', '훈제닭가슴살')",1719,23
116,"('쌀밥(반공기)', '오징어국', '계란프라이')",1703,16
117,"('쌀밥(반공기)', '오징어국', '계란찜')",1702,33
118,"('쌀밥(반공기)', '오징어국', '계란햄말이')",1704,26
119,"('쌀밥(반공기)', '오징어국', '쇠고기장조림')",1710,24
120,"('쌀밥(반공기)', '모시조개국', '콩나물무침')",1636,2
121,"('쌀밥(반공기)', '모시조개국', '고사리나물')",1625,3
122,"('쌀밥(반공기)', '모시조개국', '버섯볶음')",1629,10
123,"('쌀밥(반공기)', '모시조개국', '진미채볶음')",1634,18
124,"('쌀밥(반공기)', '모시조개국', '낚지볶음')",1628,27
125,"('쌀밥(반공기)', '모시조개국', '김치참치볶음')",1627,3
126,"('쌀밥(반공기)', '모시조개국', '갈치구이')",1620,28
127,"('쌀밥(반공기)', '모시조개국', '조기구이')",1633,9
128,"('쌀밥(반공기)', '모시조개국', '잔멸치볶음')",1632,5
129,"('쌀밥(반공기)', '모시조개국', '감자채볶음')",1621,7
130,"('쌀밥(반공기)', '모시조개국', '애호박볶음')",1631,8
131,"('쌀밥(반공기)', '모시조개국', '골뱅이무침')",1626,12
132,"('쌀밥(반공기)', '모시조개국', '홍합무침')",1638,11
133,"('쌀밥(반공기)', '모시조개국', '코다리찜')",1635,18
134,"('쌀밥(반공기)', '모시조개국', '콩나물찜')",1637,29
135,"('쌀밥(반공기)', '모시조개국', '훈제닭가슴살')",1639,15
136,"('쌀밥(반공기)', '모시조개국', '계란프라이')",1623,8
137,"('쌀밥(반공기)', '모시조개국', '계란찜')",1622,29
138,"('쌀밥(반공기)', '모시조개국', '계란햄말이')",1624,18
139,"('쌀밥(반공기)', '모시조개국', '쇠고기장조림')",1630,17
140,"('쌀밥(반공기)', '홍합우거지국', '콩나물무침')",1756,3
141,"('쌀밥(반공기)', '홍합우거지국', '고사리나물')",1745,4
142,"('쌀밥(반공기)', '홍합우거지국', '버섯볶음')",1749,13
143,"('쌀밥(반공기)', '홍합우거지국', '진미채볶음')",1754,21
144,"('쌀밥(반공기)', '홍합우거지국', '낚지볶음')",1748,29
145,"('쌀밥(반공기)', '홍합우거지국', '김치참치볶음')",1747,4
146,"('쌀밥(반공기)', '홍합우거지국', '갈치구이')",1740,29
147,"('쌀밥(반공기)', '홍합우거지국', '조기구이')",1753,12
148,"('쌀밥(반공기)', '홍합우거지국', '잔멸치볶음')",1752,7
149,"('쌀밥(반공기)', '홍합우거지국', '감자채볶음')",1741,10
150,"('쌀밥(반공기)', '홍합우거지국', '애호박볶음')",1751,11
151,"('쌀밥(반공기)', '홍합우거지국', '골뱅이무침')",1746,15
152,"('쌀밥(반공기)', '홍합우거지국', '홍합무침')",1758,14
153,"('쌀밥(반공기)', '홍합우거지국', '코다리찜')",1755,21
154,"('쌀밥(반공기)', '홍합우거지국', '콩나물찜')",1757,30
155,"('쌀밥(반공기)', '홍합우거지국', '훈제닭가슴살')",1759,18
156,"('쌀밥(반공기)', '홍합우거지국', '계란프라이')",1743,11
157,"('쌀밥(반공기)', '홍합우거지국', '계란찜')",1742,30
158,"('쌀밥(반공기)', '홍합우거지국', '계란햄말이')",1744,21
159,"('쌀밥(반공기)', '홍합우거지국', '쇠고기장조림')",1750,19
160,"('쌀밥(반공기)', '김치콩나물국', '콩나물무침')",1616,3
161,"('쌀밥(반공기)', '김치콩나물국', '고사리나물')",1605,3
162,"('쌀밥(반공기)', '김치콩나물국', '버섯볶음')",1609,11
163,"('쌀밥(반공기)', '김치콩나물국', '진미채볶음')",1614,19
164,"('쌀밥(반공기)', '김치콩나물국', '낚지볶음')",1608,28
165,"('쌀밥(반공기)', '김치콩나물국', '김치참치볶음')",1607,3
166,"('쌀밥(반공기)', '김치콩나물국', '갈치구이')",1600,28
167,"('쌀밥(반공기)', '김치콩나물국', '조기구이')",1613,10
168,"('쌀밥(반공기)', '김치콩나물국', '잔멸치볶음')",1612,5
169,"('쌀밥(반공기)', '김치콩나물국', '감자채볶음')",1601,8
170,"('쌀밥(반공기)', '김치콩나물국', '애호박볶음')",1611,9
171,"('쌀밥(반공기)', '김치콩나물국', '골뱅이무침')",1606,13
172,"('쌀밥(반공기)', '김치콩나물국', '홍합무침')",1618,12
173,"('쌀밥(반공기)', '김치콩나물국', '코다리찜')",1615,19
174,"('쌀밥(반공기)', '김치콩나물국', '콩나물찜')",1617,29
175,"('쌀밥(반공기)', '김치콩나물국', '훈제닭가슴살')",1619,16
176,"('쌀밥(반공기)', '김치콩나물국', '계란프라이')",1603,9
177,"('쌀밥(반공기)', '김치콩나물국', '계란찜')",1602,29
178,"('쌀밥(반공기)', '김치콩나물국', '계란햄말이')",1604,19
179,"('쌀밥(반공기)', '김치콩나물국', '쇠고기장조림')",1610,17
180,"('쌀밥(반공기)', '김치수제비국', '콩나물무침')",1596,8
181,"('쌀밥(반공기)', '김치수제비국', '고사리나물')",1585,10
182,"('쌀밥(반공기)', '김치수제비국', '버섯볶음')",1589,20
183,"('쌀밥(반공기)', '김치수제비국', '진미채볶음')",1594,27
184,"('쌀밥(반공기)', '김치수제비국', '낚지볶음')",1588,32
185,"('쌀밥(반공기)', '김치수제비국', '김치참치볶음')",1587,10
186,"('쌀밥(반공기)', '김치수제비국', '갈치구이')",1580,33
187,"('쌀밥(반공기)', '김치수제비국', '조기구이')",1593,19
188,"('쌀밥(반공기)', '김치수제비국', '잔멸치볶음')",1592,14
189,"('쌀밥(반공기)', '김치수제비국', '감자채볶음')",1581,17
190,"('쌀밥(반공기)', '김치수제비국', '애호박볶음')",1591,18
191,"('쌀밥(반공기)', '김치수제비국', '골뱅이무침')",1586,22
192,"('쌀밥(반공기)', '김치수제비국', '홍합무침')",1598,21
193,"('쌀밥(반공기)', '김치수제비국', '코다리찜')",1595,27
194,"('쌀밥(반공기)', '김치수제비국', '콩나물찜')",1597,33
195,"('쌀밥(반공기)', '김치수제비국', '훈제닭가슴살')",1599,25
196,"('쌀밥(반공기)', '김치수제비국', '계란프라이')",1583,18
197,"('쌀밥(반공기)', '김치수제비국', '계란찜')",1582,34
198,"('쌀밥(반공기)', '김치수제비국', '계란햄말이')",1584,27
199,"('쌀밥(반공기)', '김치수제비국', '쇠고기장조림')",1590,26
200,"('쌀밥(반공기)', '우거지국', '콩나물무침')",1736,3
201,"('쌀밥(반공기)', '우거지국', '고사리나물')",1725,4
202,"('쌀밥(반공기)', '우거지국', '버섯볶음')",1729,12
203,"('쌀밥(반공기)', '우거지국', '진미채볶음')",1734,21
204,"('쌀밥(반공기)', '우거지국', '낚지볶음')",1728,29
205,"('쌀밥(반공기)', '우거지국', '김치참치볶음')",1727,4
206,"('쌀밥(반공기)', '우거지국', '갈치구이')",1720,29
207,"('쌀밥(반공기)', '우거지국', '조기구이')",1733,12
208,"('쌀밥(반공기)', '우거지국', '잔멸치볶음')",1732,6
209,"('쌀밥(반공기)', '우거지국', '감자채볶음')",1721,10
210,"('쌀밥(반공기)', '우거지국', '애호박볶음')",1731,11
211,"('쌀밥(반공기)', '우거지국', '골뱅이무침')",1726,15
212,"('쌀밥(반공기)', '우거지국', '홍합무침')",1738,14
213,"('쌀밥(반공기)', '우거지국', '코다리찜')",1735,20
214,"('쌀밥(반공기)', '우거지국', '콩나물찜')",1737,30
215,"('쌀밥(반공기)', '우거지국', '훈제닭가슴살')",1739,18
216,"('쌀밥(반공기)', '우거지국', '계란프라이')",1723,11
217,"('쌀밥(반공기)', '우거지국', '계란찜')",1722,30
218,"('쌀밥(반공기)', '우거지국', '계란햄말이')",1724,20
219,"('쌀밥(반공기)', '우거지국', '쇠고기장조림')",1730,19
220,"('도토리묵밥(반공기)', '쇠고기국', '콩나물무침')",1456,9
221,"('도토리묵밥(반공기)', '쇠고기국', '고사리나물')",1445,11
222,"('도토리묵밥(반공기)', '쇠고기국', '버섯볶음')",1449,21
223,"('도토리묵밥(반공기)', '쇠고기국', '진미채볶음')",1454,28
224,"('도토리묵밥(반공기)', '쇠고기국', '낚지볶음')",1448,33
225,"('도토리묵밥(반공기)', '쇠고기국', '김치참치볶음')",1447,11
226,"('도토리묵밥(반공기)', '쇠고기국', '갈치구이')",1440,33
227,"('도토리묵밥(반공기)', '쇠고기국', '조기구이')",1453,20
228,"('도토리묵밥(반공기)', '쇠고기국', '잔멸치볶음')",1452,15
229,"('도토리묵밥(반공기)', '쇠고기국', '감자채볶음')",1441,18
230,"('도토리묵밥(반공기)', '쇠고기국', '애호박볶음')",1451,19
231,"('도토리묵밥(반공기)', '쇠고기국', '골뱅이무침')",1446,23
232,"('도토리묵밥(반공기)', '쇠고기국', '홍합무침')",1458,22
233,"('도토리묵밥(반공기)', '쇠고기국', '코다리찜')",1455,28
234,"('도토리묵밥(반공기)', '쇠고기국', '콩나물찜')",1457,34
235,"('도토리묵밥(반공기)', '쇠고기국', '훈제닭가슴살')",1459,26
236,"('도토리묵밥(반공기)', '쇠고기국', '계란프라이')",1443,19
237,"('도토리묵밥(반공기)', '쇠고기국', '계란찜')",1442,34
238,"('도토리묵밥(반공기)', '쇠고기국', '계란햄말이')",1444,28
239,"('도토리묵밥(반공기)', '쇠고기국', '쇠고기장조림')",1450,27
240,"('도토리묵밥(반공기)', '시래기국', '콩나물무침')",1476,5
241,"('도토리묵밥(반공기)', '시래기국', '고사리나물')",1465,6
